entidad,plataforma,fecha,seguidores,alcance,interacciones,likes_promedio,engagement_rate
Centro Universitario México,Facebook,2025-07-31,1410,3439,814,94,23.67
Centro Universitario México,Facebook,2025-08-31,3646,13558,1523,86,11.23
Centro Universitario México,Facebook,2025-09-30,2670,15021,1137,24,7.57
Centro Universitario México,Facebook,2025-10-31,1716,7401,1361,57,18.39
Centro Universitario México,Facebook,2025-11-30,3333,9844,1562,35,15.87
Centro Universitario México,Facebook,2025-12-31,5249,41867,9126,97,21.8
Centro Universitario México,Instagram,2025-07-31,2716,10920,1039,98,9.51
Centro Universitario México,Instagram,2025-08-31,4873,15830,916,19,5.79
Centro Universitario México,Instagram,2025-09-30,3866,18214,1856,94,10.19
Centro Universitario México,Instagram,2025-10-31,2422,10006,1111,69,11.1
Centro Universitario México,Instagram,2025-11-30,1851,9208,1415,71,15.37
Centro Universitario México,Instagram,2025-12-31,675,4338,358,88,8.25
Centro Universitario México,TikTok,2025-07-31,2105,15621,2823,91,18.07
Centro Universitario México,TikTok,2025-08-31,678,2714,176,50,6.48
Centro Universitario México,TikTok,2025-09-30,2710,21120,1644,31,7.78
Centro Universitario México,TikTok,2025-10-31,1461,10878,972,43,8.94
Centro Universitario México,TikTok,2025-11-30,1177,3142,174,48,5.54
Centro Universitario México,TikTok,2025-12-31,2655,5465,314,60,5.75
Colegio Jacona,Facebook,2025-07-31,4831,16182,2376,34,14.68
Colegio Jacona,Facebook,2025-08-31,4859,30452,4706,25,15.45
Colegio Jacona,Facebook,2025-09-30,4909,21262,4198,82,19.74
Colegio Jacona,Facebook,2025-10-31,1690,5188,987,54,19.02
Colegio Jacona,Facebook,2025-11-30,1516,6942,769,29,11.08
Colegio Jacona,Facebook,2025-12-31,3669,9439,2114,27,22.4
Colegio Jacona,Instagram,2025-07-31,1589,8797,1659,38,18.86
Colegio Jacona,Instagram,2025-08-31,4981,24569,2256,16,9.18
Colegio Jacona,Instagram,2025-09-30,4255,30275,4370,25,14.43
Colegio Jacona,Instagram,2025-10-31,1469,5806,897,23,15.45
Colegio Jacona,Instagram,2025-11-30,970,6630,501,85,7.56
Colegio Jacona,Instagram,2025-12-31,2207,16653,2081,95,12.5
Colegio Lic. Manuel Concha,Facebook,2025-07-31,634,1677,92,82,5.49
Colegio Lic. Manuel Concha,Facebook,2025-08-31,1782,8215,466,69,5.67
